id,type,item name,price,quantity,vendor
2842000,chemicals,Sulfuric Acid - 14.7 M,2.94,251,K+R Industries
2842001,chemicals,Hydrochloric Acid - 5.1 M,12.58,191,Hejlsberg Industries
2842002,chemicals,Sodium Hydroxide - 8.4 M,36.21,172,Stroustrup Manufacturing
2842003,chemicals,Acetic Acid - 0.3 M,33.48,273,Hejlsberg Industries
2842004,chemicals,Acetic Acid - 4.8 M,19.73,335,Newman Niceties
2842005,chemicals,Sodium Hydroxide - 10.2 M,27.03,147,K+R Industries
2842006,chemicals,Potassium Chloride - 4.8 M,26.29,147,Van Rossum Recycling
2842007,chemicals,Sodium Hydroxide - 0.7 M,2.63,114,Van Rossum Recycling
2840000,electronics,5-gate AND Gate,2.31,390,Van Rossum Recycling
2842008,chemicals,Acetic Acid - 11.2 M,13.87,2,Gosling Goods
2842009,chemicals,Potassium Chloride - 6.8 M,24.16,207,Hejlsberg Industries
2842010,chemicals,Sodium Hydroxide - 0.2 M,25.84,228,Newman Niceties
2842011,chemicals,Sodium Hydroxide - 11.5 M,2.56,347,K+R Industries
2842012,chemicals,Sodium Hydroxide - 4.3 M,32.2,310,Newman Niceties
2842013,chemicals,Sulfuric Acid - 13.1 M,25.1,293,Stroustrup Manufacturing
2842014,chemicals,Sodium Hydroxide - 4.5 M,30.87,349,Stroustrup Manufacturing
2842015,chemicals,Potassium Chloride - 10.9 M,16.03,32,Van Rossum Recycling
2842016,chemicals,Sodium Hydroxide - 13.8 M,13.3,327,Hejlsberg Industries
2842017,chemicals,Sodium Hydroxide - 9.1 M,22.36,276,Stroustrup Manufacturing
2842018,chemicals,Acetic Acid - 5.2 M,3.6,235,Hejlsberg Industries
2842019,chemicals,Sulfuric Acid - 3.2 M,16.36,63,Hejlsberg Industries
2842020,chemicals,Sodium Hydroxide - 9.6 M,10.35,211,Stroustrup Manufacturing
2842021,chemicals,Sodium Hydroxide - 2.4 M,29.9,151,Van Rossum Recycling
2842022,chemicals,Acetic Acid - 1.1 M,19.87,363,Gosling Goods
2842023,chemicals,Sulfurous Acid - 12.4 M,9.3,118,K+R Industries
2842024,chemicals,Acetic Acid - 2.6 M,17.07,342,Hejlsberg Industries
2842025,chemicals,Potassium Chloride - 5.5 M,1.13,349,Van Rossum Recycling
2842026,chemicals,Sulfuric Acid - 7.8 M,37.14,238,K+R Industries
2842027,chemicals,Sodium Hydroxide - 13.9 M,21.09,156,Hejlsberg Industries
2842028,chemicals,Hydrochloric Acid - 12.8 M,14.82,97,Van Rossum Recycling
2842029,chemicals,Acetic Acid - 4.8 M,37.81,278,Gosling Goods
2842030,chemicals,Acetic Acid - 13.7 M,34.44,166,Gosling Goods
2842031,chemicals,Potassium Chloride - 1.8 M,37.06,143,Gosling Goods
2842032,chemicals,Sulfuric Acid - 8.1 M,37.39,35,Hejlsberg Industries
2842033,chemicals,Hydrochloric Acid - 0.2 M,35.69,185,Hejlsberg Industries
